序号,英文品牌名,slug,中文展示名,国家/地区中文,国家/地区英文,品牌类型,库存数量,优先级,品牌库状态,示例商品,品牌卡片短简介（30-50字）,品牌详情页简介（100-200字）,品牌背景/故事（可选）,风格特点（3-5个关键词）,代表系列/代表斗型,适合人群,资料来源URL 1,资料来源URL 2,审核状态（待填写/待核验/可入库/暂不展示）,备注
1,Nørding,nording,诺丁,丹麦,Denmark,工坊/量产兼具,387,high,品牌库显示,,丹麦自由式代表品牌之一，强调大胆造型、石楠纹理与手工感。｜EN: Danish freehand pipes known for bold shapes and expressive briar grain.,Nørding 由 Erik Nørding 创立，是丹麦自由式烟斗的重要代表。品牌产品从经典手工斗到 Compass、Keystone、Hunting Pipe 等系列都有覆盖，整体更重视石楠木天然形态、纹理走向和个性化外观，适合喜欢丹麦风格与自然造型的玩家。,品牌源自 Erik Nørding 1950 年代末的制斗爱好，后来发展为多代参与的家族事业。1960—70 年代丹麦 Freehand 风潮兴起，Nørding 凭借自由式造型和较强生产能力被国际市场认识。,丹麦自由式；造型大胆；Plateau木料；纹理表现；实验设计,Freehand；Hunting Pipe,喜欢个性造型、丹麦自由式和大斗钵的玩家,https://www.nordingpipes.com/,https://www.nordingpipes.com/pipes/freehand,可入库,
2,Savinelli,savinelli,沙芬,意大利,Italy,量产品牌,222,high,品牌库显示,,意大利代表性烟斗品牌，型号清晰、系列丰富，适合从新手到进阶玩家。｜EN: Iconic Italian pipes with clear shape numbers and broad series choices.,Savinelli 是意大利最具代表性的烟斗品牌之一，源头可追溯至 1876 年米兰烟具店。品牌优势在于成熟稳定的产品体系：经典斗型多、系列层级清晰、价格覆盖广，从日常使用到高阶手工线都有选择。,1876 年 Achille Savinelli Sr. 在米兰大教堂附近开设烟具专门店。二战后，Achille Savinelli Jr. 推动品牌进入制斗生产阶段，使 Savinelli 成为现代意大利烟斗工业的重要代表。,意式经典；型号清晰；量产稳定；选择丰富；入门友好,Roma；Autograph,新手、日常使用者、希望按型号选斗的进阶玩家,https://www.savinelli.it/rw2_en/our-story,https://www.savinelli.it/rw_en/savinelli-models,可入库,
3,Chacom,chacom,查科姆,法国,France,量产品牌,155,high,品牌库显示,,法国圣克洛德传统品牌，承接 Comoy 与 Chapuis 家族制斗脉络。｜EN: Traditional French pipes from Saint-Claude with Comoy-Chapuis heritage.,Chacom 是法国圣克洛德烟斗传统中的重要品牌，名称来自 Chapuis 与 Comoy 两个家族。品牌以法式经典斗型、稳定生产和亲民价位见长，适合作为了解法国石楠根烟斗体系的入口。,Chacom 品牌诞生于 1928 年，背后可追溯到 Comoy 家族与 Chapuis 家族在圣克洛德的制斗历史。圣克洛德长期被视为法国石楠根烟斗重镇，Chacom 也延续了这一地区的传统工艺。,法式传统；圣克洛德；经典斗型；价格友好；量产稳定,Chacom Royale；Chacom Atlas,想体验法国传统斗型、预算友好的新手与日常玩家,https://www.pipechacom.com/en/history.htm,https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/the-history-chacom-and-comoys-london-part,可入库,
4,Peterson,peterson,彼得森,爱尔兰,Ireland,量产品牌,141,high,品牌库显示,,"爱尔兰经典烟斗品牌，以 System 系统斗、银饰军插和厚重英伦气质著称。｜EN: Classic Irish pipes known for System engineering, silver mounts and stout shapes.",Peterson 是爱尔兰最具辨识度的烟斗品牌之一，以 System 系统结构、P-Lip 烟嘴、银饰军插和厚实斗型闻名。品牌产品线覆盖日常系列、Sherlock Holmes、Deluxe System 等，适合喜欢传统气质和功能结构的玩家。,Peterson 的历史通常追溯至 19 世纪都柏林 Kapp 兄弟的烟具店，Charles Peterson 后来带来系统斗相关设计，使品牌形成独特技术标签。至今 Peterson 仍是爱尔兰烟斗文化的重要代表。,爱尔兰传统；System系统斗；P-Lip；银饰军插；厚重斗型,System Standard；Sherlock Holmes,新手、传统英式/爱尔兰风格爱好者、系统斗玩家,https://pipedia.org/wiki/Peterson,https://www.alpascia.com/moments/en/detail/61/peterson,可入库,
5,Vauen,vauen,华云,德国,Germany,量产品牌,137,high,品牌库显示,,"德国老牌烟斗厂，以严谨做工、9mm滤芯体系和现代设计见长。｜EN: Historic German pipes known for precision, 9mm filters and modern series.",VAUEN 是德国历史悠久的烟斗品牌，官方资料将其源头追溯至 1848 年纽伦堡。品牌以稳定加工、9mm 滤芯体系、现代外观和德式实用风格著称，在欧洲市场具有很高识别度。,1848 年 Karl Ellenberger 与 Carl August Ziener 在纽伦堡创办德国早期烟斗制造业务。1901 年与 Gebhard Ott 工厂合并后形成 VAUEN 名称来源，品牌长期延续纽伦堡制造传统。,德式严谨；9mm滤芯；现代设计；做工稳定；入门友好,Auenland；Classic,偏好滤芯系统、日常使用和现代外观的玩家,https://www.vauen.com/company.html,https://pipedia.org/wiki/VAUEN,可入库,
6,W.Ø. Larsen,w-o-larsen,W.Ø. 拉森,丹麦,Denmark,历史品牌/零售店系,115,high,品牌库显示,,哥本哈根传奇烟具店系品牌，与丹麦手工斗黄金年代关系密切。｜EN: Legendary Copenhagen tobacconist linked to Denmark’s handmade pipe tradition.,W.Ø. Larsen 是丹麦哥本哈根著名烟具店与品牌名，历史上与丹麦手工烟斗黄金年代关系密切。其店铺和工作室曾聚集多位丹麦制斗师，市场上 Larsen 手工斗常被视为丹麦传统工坊体系的重要遗存。,W.Ø. Larsen 可追溯至哥本哈根老牌烟草/烟具业务。20 世纪中后期，其手工斗与丹麦设计风格一起受到国际关注，Former、Teddy Knudsen 等制斗师都与这一体系有联系。,丹麦传统；店铺系品牌；手工斗；自由式影响；收藏属性,Straight Grain；Hand Made,丹麦老斗收藏者、重视历史背景的进阶玩家,https://pipedia.org/wiki/W.%C3%98._Larsen,https://www.pipesandcigars.com/category/shop-by-brand/wo-larsen/,可入库,
7,Dunhill,dunhill,登喜路,英国,United Kingdom,高端传统品牌,110,high,品牌库显示,,英国经典高端烟斗品牌，以白点标识、严格分级和传统英式斗型闻名。｜EN: Classic high-end English pipes known for the White Spot and refined grading.,Dunhill / The White Spot 是英国烟斗传统中最具影响力的高端品牌之一。其产品以经典英式斗型、白点标识、手工整理、喷砂与光面分级著称，长期被许多收藏者视为英国烟斗工艺的重要标杆。,Alfred Dunhill 1907 年在伦敦开设烟草店，1910 年左右建立内部制斗工作室。白点最初用于帮助使用者辨认烟嘴方向，后来成为品牌极具辨识度的标志。,英式经典；白点标识；高端分级；喷砂工艺；收藏属性,Shell Briar；Bruyere,高预算玩家、英国经典斗收藏者、重视品牌体系的用户,https://whitespot.co.uk/history.asp,https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/visiting-the-white-spot,可入库,
8,Rattray's,rattray-s,拉特雷,苏格兰,Scotland,品牌/委托生产,93,high,品牌库显示,,苏格兰烟草传统品牌，烟斗多以经典造型和欧洲代工体系呈现。｜EN: Scottish heritage brand offering classic pipes through European production.,Rattray’s 源于苏格兰 Perth 的烟草商传统，今日烟斗产品多围绕经典造型、装饰环和系列化设计展开。它不是典型单一工坊品牌，更适合作为带有苏格兰烟草文化背景的欧洲品牌线理解。,官方资料称 Charles Rattray 于 1911 年接手 Perth 的烟草店，以调配烟草闻名。后来 Rattray’s 将品牌延伸到烟斗和配件，现代产品由欧洲制造体系支持。,苏格兰传统；经典造型；系列化；装饰感；烟草品牌延伸,The Witch；Fachen,喜欢经典外观、品牌配件体系和日常价位的玩家,https://www.rattrays-pipes.com/en/,https://www.smokingpipes.com/pipes/new/Rattrays/,可入库,
9,Stanwell,stanwell,史丹威,丹麦,Denmark,量产品牌,78,high,品牌库显示,,丹麦代表性量产烟斗品牌，把丹麦设计带入更广泛的国际市场。｜EN: Major Danish pipe brand that brought Danish design to a broad audience.,Stanwell 是丹麦烟斗史中的关键品牌之一，以量产体系承接丹麦设计语言。它与 Sixten Ivarsson 等丹麦制斗师有深厚联系，将自由、更流动的丹麦斗型转化为可规模生产的产品。,Stanwell 的重要性在于把丹麦烟斗从小范围手工设计推向国际市场。其许多经典斗型来自丹麦制斗师合作设计，后期生产曾转至意大利，因此二手市场常区分丹麦产与意大利产时期。,丹麦设计；量产稳定；经典编号；自由曲线；二手常见,Royal Guard；Danish Design,想体验丹麦设计但预算相对理性的玩家,https://pipedia.org/wiki/Stanwell,https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/stanwell-shapes-and-origins,可入库,
10,BPK,bpk,BPK,捷克,Czech Republic,量产品牌,54,high,品牌库显示,,捷克传统烟斗品牌，主打亲民石楠烟斗，也可见海泡石等材质选择。｜EN: A Czech pipe brand known for affordable briar pipes and practical everyday options.,BPK 是捷克烟斗品牌，公开资料显示其定位偏亲民实用，产品以石楠烟斗为主，也可见海泡石等材质。它更适合作为入门或日常使用品牌展示，不宜过度强调高端收藏属性。,Pipedia 将 BPK 归入捷克品牌，并描述为有传统的经济型品牌，主要以工厂化生产和出口为主。品牌故事资料不多，建议以“捷克实用品牌”角度呈现。,捷克制造；价格亲民；石楠烟斗；入门实用,Classic Briar；Meerschaum,预算有限的新手、日常使用型用户,https://pipedia.org/wiki/BPK,https://pipedia.org/wiki/Pipe_Brands_/_Makers,可入库,已复核 Pipedia 条目，可入库；定位应保持亲民实用，不夸大历史。
11,Falcon,falcon,猎鹰,英国,United Kingdom,系统斗品牌,54,high,品牌库显示,,轻量金属烟杆与可替换斗钵体系，结构独特、实用性强。｜EN: Lightweight system pipes with aluminum stems and interchangeable bowls.,Falcon 以铝制烟杆和可替换石楠斗钵构成独特系统斗，外观与传统石楠斗明显不同。它的优势是轻、易维护、可更换斗钵，适合重视实用、便携和清洁效率的玩家。,Falcon 系统由美国工程师 Kenly Bugg 于 1930 年代设计，后在英国生产并流行。其核心思路是用金属烟杆帮助散热，并通过可替换斗钵提升使用灵活性。,金属系统斗；可替换斗钵；轻量；易维护；便携,Classic Stem；Hunter Bowl,重视实用、便携、低维护成本的玩家,https://pipedia.org/wiki/Falcon,https://www.smokingmetal.co.uk/pipe.php?page=107,可入库,
12,Unknown Meerschaum,unknown-meerschaum,无品牌海泡石,土耳其,Turkey,分类/无品牌烟斗,41,high,品牌库显示,,"无品牌海泡石分类，少了品牌溢价，更看重雕刻工艺、材质表现与实用性。｜EN: Unbranded meerschaum pipes valued for carving, material quality and lower brand premium.",Unknown Meerschaum 可作为“无品牌海泡石”分类理解，并非具体制造商。此类烟斗主要看海泡石材质、雕刻工艺、成色、斗钵状态与烟嘴做工。没有品牌溢价，但若材质、工艺和保存状态良好，仍然颇具吸引力。,海泡石烟斗长期与土耳其埃斯基谢希尔地区的材料和雕刻传统相关。无品牌条目无法确认具体工坊或制作者，展示时应把重点放在材质、工艺和实物状态，而不是品牌历史。,无品牌分类；海泡石；雕刻工艺；材质表现；低品牌溢价,雕刻海泡石；光面海泡石,关注材质与工艺、不追求品牌溢价的玩家,"https://pipedia.org/wiki/A_Magical_Mystery_Tour:_Meerschaum,_the_Queen_(or_King)_of_Tobacco_Pipes",https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/the-history-meerschaum-pipes,可入库,按用户反馈调整：作为无品牌海泡石分类进入品牌库；不是具体品牌，页面文案需避免写成品牌史。
13,White Star Pipes,white-star-pipes,白星,丹麦,Denmark,重复项/品牌别名,33,high,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/l/Pipes/White-Star-/-f%2C%2CShow-all,https://pipedia.org/wiki/Danish_Pipe_Brands_%26_Makers_U_-_Z,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
14,Dagner Pipes,dagner-pipes,达格纳,美国,United States,现代品牌/委托生产,30,high,品牌库显示,,美国现代烟斗品牌，风格偏粗犷复古，产品多为设计后委托生产。｜EN: Modern American pipe brand with rugged styling and contract-made production.,Dagner Pipes 是美国现代烟斗品牌，围绕 Dagner 家族/社群文化形成辨识度。公开资料显示，其石楠根烟斗并非传统意义上的独立制斗师手作，而是品牌设计后由意大利工厂生产，定位更偏日常、复古和性价比路线。,Danish Pipe Shop 将 Dagner Pipes 作为品牌分类销售，并称其为北欧地区独家经销之一。Pipedia 收录的品牌介绍也提到 Dagner 与意大利工厂合作生产烟斗。,美国品牌；意大利代工；复古粗犷；社群属性；日常价位,Poker；Corn Cob collaboration,喜欢美式复古风格、预算相对理性、偏日常使用的玩家,https://www.danishpipeshop.com/l/pipes/Dagner-Pipes-,https://pipedia.org/wiki/Dagner_Pipes,可入库,与第73行 Dagner 重复；保留 Dagner Pipes 作为规范品牌名。
15,Brebbia,brebbia,芭比,意大利,Italy,量产品牌,29,high,品牌库显示,,意大利老牌制斗厂，源自 Varese 地区，与 Savinelli 早期历史有关。｜EN: Italian pipe maker from the Varese area with roots linked to Savinelli history.,Brebbia 是意大利 Varese 地区的重要烟斗品牌，产品覆盖经典光面、喷砂、雕刻和多种系列。品牌定位较实用，价格通常比顶级手工意大利品牌更亲民，但仍保留传统意式斗型与工厂制造稳定性。,Brebbia 的历史始于 1947 年 Enea Buzzi 与 Achille Savinelli 的合作。1950 年代双方分开后，Enea Buzzi 继续发展以 Brebbia 为名的制斗事业，形成独立品牌。,意大利传统；工厂稳定；价格友好；系列多样；经典斗型,Rocciata；MPB,日常玩家、想尝试意大利工厂斗的用户,https://www.brebbiapipe.it/en/company/history/64-a-story-began-in-1947,https://pipedia.org/wiki/Brebbia,可入库,
16,Georg Jensen,georg-jensen,乔治·杰森,丹麦,Denmark,历史工坊/量产品牌,28,high,品牌库显示,,"丹麦历史烟斗品牌，由 Per Georg Jensen 创立，常见经典量产斗与少量高阶手工款。｜EN: A Danish pipe brand founded by Per Georg Jensen, known for classic factory pipes and select handmade pieces.",Georg Jensen 是丹麦历史烟斗品牌，与同名银器品牌需要区分。资料显示其烟斗工厂由 Per Georg Jensen 夫妇于 1954 年在哥本哈根创立，产品既有常规量产线，也有手工特殊版和自由式作品。,Georg Jensen 烟斗工厂后来由其家族成员继续经营。公开资料提到，品牌年产量约为数千支，旗下还出现 White Star、North Dane、Danets 等副牌或相关线。,丹麦传统；量产稳定；手工特别版；副牌体系,Masterpiece；White Star,喜欢丹麦老牌、二手丹麦斗的用户,https://pipedia.org/wiki/Georg_Jensen,https://rebornpipes.com/tag/georg-jensen-made-in-denmark-pipes/,可入库,需与丹麦银器品牌 Georg Jensen 区分；本条指烟斗品牌。
17,Kai Nielsen,kai-nielsen,凯·尼尔森,丹麦,Denmark,独立手工制斗师,26,high,品牌库显示,,丹麦手工制斗师，作品多见自由式线条和自然石楠纹理。｜EN: Danish artisan pipes with freehand lines and natural briar expression.,Kai Nielsen 是丹麦制斗师名号，公开目录将其列为丹麦制斗师。系统性资料有限，但其作品在二手市场常以丹麦手工斗呈现，适合谨慎作为独立制斗师条目展示。,公开资料较少，Pipedia 的丹麦品牌/制斗师列表将 Kai Nielsen 归入丹麦制斗师。品牌库中不建议虚构师承和创立年份，可重点结合实物戳记与库存图片说明。,丹麦手工；自由式；自然纹理；资料有限,Freehand；Handmade,关注丹麦小众手工斗的进阶玩家,https://pipedia.org/wiki/Danish_Pipe_Brands_%26_Makers_M_-_Q,https://pipedia.org/wiki/Denmark,可入库,有丹麦制斗师目录依据，但资料有限，内容保守呈现。
18,Nuttens Pipes,nuttens-pipes,努滕斯,法国,France,制斗师品牌,26,high,品牌库显示,,"法国制斗师品牌，由比利时出生的 Bruno Nuttens 创立，以修复经验和手工烟斗见长。｜EN: A France-based artisan brand by Belgian-born Bruno Nuttens, known for restoration experience and handmade pipes.",Nuttens Pipes 是 Bruno Nuttens 的个人制斗品牌。Bruno Nuttens 出生于比利时，长期在法国生活和工作，早期从烟斗修复开始，随后转向手工制斗。其作品包括完全手工制作的高阶烟斗，也包括 Heritage、Vintage Collection 等斗坯再创作系列。,公开资料提到，Bruno Nuttens 曾受到 Pierre Morel 的建议和影响，也受到德国制斗师及意大利制斗师 Paolo Becker 风格启发。其官网区分全手工制作品与 Heritage / Vintage Collection 等不同产品线。,法国手工；修复经验；细长比例；斗坯再创作；欧洲现代工坊,Heritage；Bing / Mini Bing,关注欧洲独立制斗师、喜欢修长线条的玩家,https://pipedia.org/wiki/Nuttens_Pipes,https://nuttenspipes.com/,可入库,品牌语境主要为法国制斗；备注：Bruno Nuttens 为比利时出生。
19,Johs Pipes,johs-pipes,约斯,丹麦,Denmark,工坊品牌/制斗师品牌,21,high,品牌库显示,,丹麦 Johs 工坊烟斗，常见自由式和实用价位手工斗。｜EN: Danish workshop pipes known for accessible handmade freehand styles.,Johs Pipes 是丹麦制斗师/工坊品牌，Pipedia 资料显示其长期为 Bjarne Nielsen 制作烟斗，后以 Johs 名义出售作品。相比顶级名家，Johs 更适合以合理预算体验丹麦手工斗的用户。,Johs 的早期作品曾长期以 Bjarne 品牌销售，未必带有其本人戳记。后来 Johs Pipes 作为独立工坊名号出现，常见 Handmade in Denmark 标识。,丹麦工坊；自由式；手工修整；价格相对友好,Handmade；Freehand,想入门丹麦手工斗的用户,https://pipedia.org/wiki/Johs,https://www.danishpipeshop.com/l/pipes/Johs-Pipes-,可入库,已补充 Pipedia 来源，可作为可入库品牌/工坊条目。
20,BBB,bbb,BBB,英国,United Kingdom,历史品牌,20,high,品牌库显示,,英国历史品牌之一，名称常被理解为 Britain’s Best Briars。｜EN: Historic English brand often associated with “Britain’s Best Briars”.,BBB 是英国老牌烟斗名号，市场上多见 vintage 与 estate 斗。品牌名称在资料中有 Blumfeld’s Best Briars 与 Britain’s Best Briars 两种解释，适合以英国历史品牌和收藏市场视角理解。,BBB 与 Adolph Frankau 公司及 Blumfeld 家族经营有关，19 世纪后期逐步成为知名英国烟斗品牌。由于年代跨度长，不同时期品质和产地需要结合戳记判断。,英国老牌；古董斗常见；戳记复杂；经典斗型；收藏向,Own Make；Virgin,关注英国老斗、愿意研究戳记和年代的玩家,https://pipedia.org/wiki/BBB,https://rebornpipes.com/2012/08/05/history-of-bbb-pipes/,可入库,
21,Missouri Meerschaum,missouri-meerschaum,密苏里海泡石,美国,United States,玉米芯烟斗品牌,20,high,品牌库显示,,"美国玉米芯烟斗代表品牌，轻便、亲民，是入门和试草常用选择。｜EN: American corn cob pipes known for affordability, light weight and practicality.",Missouri Meerschaum 是美国玉米芯烟斗最具代表性的品牌，位于密苏里州 Washington。它的烟斗轻、便宜、维护简单，常被用于新手入门、试草或户外随身使用，与传统石楠斗形成鲜明对比。,官方历史将品牌源头追溯至 1869 年 Henry Tibbe 制作玉米芯烟斗。经过防火处理和规模化生产后，玉米芯烟斗成为美国烟斗文化中非常独特的一支。,玉米芯；轻便；价格亲民；试草友好；美国传统,Legend；Country Gentleman,新手、试草用户、户外和轻便使用者,https://corncobpipe.com/our-history/,https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/the-history-the-macarthur-corn-cob-pipe,可入库,
22,Benner,benner,本纳,丹麦,Denmark,独立手工制斗师,19,high,品牌库显示,,"丹麦制斗师 Bent “Benner” Nielsen 的手工烟斗，带有传统丹麦斗型气质。｜EN: Danish handmade pipes by Bent “Benner” Nielsen, rooted in classic Danish shaping.",Benner 指丹麦制斗师 Bent “Benner” Nielsen。Danish Pipe Shop 资料称其生于 1944 年，受过木匠训练，1970 年代曾为 Karl-Erik Pipes 制作丹麦烟斗。品牌库可按丹麦制斗师条目展示。,Benner 的公开资料不算丰富，但其与 Karl-Erik 体系及丹麦手工斗传统有关。展示时建议突出“丹麦老派手工制斗师”，不虚构系列体系。,丹麦手工；木匠背景；传统斗型；二手市场常见,Handmade；Estate Benner,喜欢丹麦老派手工斗、二手斗的用户,https://www.danishpipeshop.com/l/Pipes/Benner-Pipes-/-f%2C%2CDover%2C%2CEbonite-Vulcanite,https://pipedia.org/wiki/Category:Denmark,可入库,根据 Danish Pipe Shop 资料复核，保守入库。
23,Peder Jeppesen,peder-jeppesen,佩德·耶佩森,丹麦,Denmark,制斗师/品牌线,19,high,品牌库显示,,"丹麦制斗师 Peder Jeppesen，与 Neerup 品牌线关系密切，作品偏现代丹麦风格。｜EN: Danish artisan Peder Jeppesen, closely associated with Neerup pipes and modern Danish lines.",Peder Christian Jeppesen 是丹麦制斗师，其制斗名/品牌线 Neerup 来自家族旧姓。作品常见现代丹麦比例、自由式影响与装饰细节。若网站已有 Neerup 条目，Peder Jeppesen 可作为相关制斗师条目或与 Neerup 合并展示。,Pipedia 中 Peder Jeppesen 条目重定向至 Neerup，说明两者关系紧密。为避免重复，品牌库可将 Peder Jeppesen 作为制斗师名展示，同时在备注中引导归并 Neerup。,丹麦手工；Neerup 关联；现代线条；自由式影响,Neerup；Handmade,关注现代丹麦手工斗的玩家,https://pipedia.org/wiki/Neerup,https://pipedia.org/index.php?redirect=no&title=Peder_Jeppesen,可入库,建议与 Neerup 做关联/合并逻辑；不要写成与 Neerup 完全无关的独立品牌。
24,Berggreen Pipes,berggreen-pipes,贝格格林,丹麦,Denmark,独立手工制斗师品牌,18,high,品牌库显示,,"丹麦手工烟斗品牌，由前 LEGO 设计主管 Ib Hartmann Berggreen 打造，风格简洁现代。｜EN: Danish artisan pipes by former LEGO design chief Ib Hartmann Berggreen, known for clean Nordic design.",Berggreen Pipes 是丹麦制斗师 Ib Hartmann Berggreen 的个人品牌。Danish Pipe Shop 介绍其曾任 LEGO 设计主管，之后全职制作烟斗。作品强调简洁、清爽的北欧设计，也会尝试新的造型边界。,Ib Hartmann Berggreen 来自哥本哈根，公开资料称他与 Tom Eltang 以及 S. Bang 相关制斗圈保持交流。其设计背景让作品更偏现代北欧审美，而不是传统量产品牌路线。,北欧简洁；设计师背景；现代丹麦线条；小批量手工,Facet Bulldog；Handmade,喜欢现代北欧设计和小众手工斗的玩家,https://www.danishpipeshop.com/l/Pipes/Berggreen-Pipes-,https://pipedia.org/wiki/Category:Denmark,可入库,已找到 Danish Pipe Shop 具体品牌介绍，可入库。
25,Bay Denmark,bay-denmark,贝伊,丹麦,Denmark,独立手工制斗师品牌,17,high,品牌库显示,,"丹麦年轻制斗师 Mike Bay 的品牌，受 Tom Eltang 工作室影响，线条轻盈。｜EN: Danish artisan pipes by Mike Bay, shaped by Tom Eltang’s workshop influence and a light modern style.",Bay Denmark 可对应丹麦制斗师 Mike Sebastian Bay。Pipedia 资料称其自 2015 年起参与 Tom Eltang 工作室，并受其制斗风格影响。作品常见轻盈比例、前倾斗钵和自然材质装饰。,Mike Bay 最初因修复父亲旧烟斗而接触制斗，后来进入 Tom Eltang 体系学习和工作。公开资料认为其作品能看到 Eltang 式锈面和造型语言，但也逐步形成自己的签名。,丹麦手工；Eltang 影响；轻盈比例；自然装饰,Handmade；Poker / Forward Tilted Bowls,喜欢新生代丹麦手工斗的玩家,https://pipedia.org/wiki/Mike_Bay,https://www.danishpipeshop.com/l/Pipes/Bay-Denmark-/-f%2C%2C%2CNo-chamber-coating%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2C%2CHigh-Low,可入库,原表 Bay 调整为 Bay Denmark / Mike Bay 相关条目。
26,Volkan,volkan,沃尔坎,意大利,Italy,独立手工制斗师品牌,17,high,品牌库显示,,"意大利手工烟斗品牌，由 Alberto F. Paronelli 制作，常见优质石楠与个性造型。｜EN: Italian handmade pipes by Alberto F. Paronelli, known for quality briar and individual shaping.",Volkan 是意大利手工烟斗品牌，Pipedia 资料显示其由 Alberto F. Paronelli 制作，使用来自意大利撒丁岛 Gallura 的优质石楠。品牌适合按意大利独立制斗师作品展示。,Volkan 的公开资料不算多，但可确认其为意大利手工制作，并与 Alberto F. Paronelli 关联。展示时建议以材质、手工属性和意大利产地为主。,意大利手工；撒丁石楠；个性造型；小批量,Handmade；Freeform,关注意大利独立制斗师的玩家,https://pipedia.org/wiki/Volkan,https://pipedia.org/wiki/Italian_Pipe_Brands_%26_Makers_T_-_Z,可入库,已查到具体 Pipedia 条目，可入库。
27,Hans Former Nielsen,hans-former-nielsen,佛么,丹麦,Denmark,独立手工制斗师,13,high,品牌库显示,,丹麦大师级制斗师，线条精确、做工克制，深受收藏者重视。｜EN: Master Danish carver known for exacting workmanship and restrained elegance.,Hans “Former” Nielsen 是丹麦大师级制斗师，长期参与丹麦手工斗体系。作品通常不靠夸张装饰取胜，而以比例、钻孔、线条和完成度体现价值，是进阶收藏者非常重视的名字。,Former 早年曾在 Poul Rasmussen、W.Ø. Larsen 等体系工作，也参与培养和管理其他制斗师。其漫长履历使他成为丹麦手工斗传统中的关键人物。,丹麦大师；线条克制；做工精准；收藏向；传统手工,Straight Grain；Freehand,高阶玩家、丹麦手工斗收藏者,https://pipedia.org/wiki/Former,https://www.smokingpipes.com/smokingpipesblog/single.cfm/post/legendary-hans-former-nielsen,可入库,
