序号,英文品牌名,slug,中文展示名,国家/地区中文,国家/地区英文,品牌类型,库存数量,优先级,品牌库状态,示例商品,品牌卡片短简介（30-50字）,品牌详情页简介（100-200字）,品牌背景/故事（可选）,风格特点（3-5个关键词）,代表系列/代表斗型,适合人群,资料来源URL 1,资料来源URL 2,审核状态（待填写/待核验/可入库/暂不展示）,备注
28,Neerup,neerup,尼鲁普,丹麦,Denmark,制斗师品牌/品牌线,13,high,品牌库显示,,"丹麦制斗师 Peder Jeppesen 的品牌线，以现代丹麦比例、自由式影响和装饰细节见长。｜EN: A Danish pipe line by Peder Jeppesen, known for modern proportions, freehand influence and decorative accents.",Neerup 是丹麦制斗师 Peder Christian Jeppesen 使用的制斗名/品牌线，名称来自其家族旧姓。其作品常见现代丹麦线条、自由式影响、彩色装饰和较强的日用属性，介于手工制斗师作品与较易入手的丹麦精品斗之间。,Pipedia 中 Peder Jeppesen 与 Neerup 的条目互相关联，Danish 资料也把 Neerup 视作 Peder Jeppesen 的制斗品牌。它不是单纯系列名，也不应写成与 Peder 无关的大厂品牌。,现代丹麦；自由式影响；彩色装饰；日用性强,Classic；Ida,喜欢现代丹麦手工斗、预算中高的玩家,https://pipedia.org/wiki/Neerup,https://pipedia.org/wiki/Danish_Pipe_Brands_%26_Makers_M_-_Q,可入库,修正：Neerup 是 Peder Jeppesen 的制斗品牌/品牌线，不宜写成独立人名。
29,Castello,castello,卡斯特罗,意大利,Italy,高端工坊品牌,11,high,品牌库显示,,"意大利高端手工烟斗代表，以 Cantù 制作、强烈造型和分级体系闻名。｜EN: High-end Italian handmade pipes from Cantù, known for bold shapes and grading.",Castello 是意大利高端手工烟斗代表，1947 年由 Carlo Scotti 在 Cantù 创立。品牌强调手工完成、意式审美和鲜明分级，Sea Rock、Old Antiquari 等表面处理极具辨识度。,Carlo Scotti 希望做出能与英国高端烟斗竞争的意大利烟斗品牌。Castello 后来在国际市场尤其是美国收藏圈获得高度认可，形成独立的尺寸、分级和饰面语言。,意式高端；手工完成；Sea Rock；大斗钵；收藏属性,Sea Rock Briar；Old Antiquari,高预算玩家、意大利斗收藏者、重视个性造型者,https://www.castello.net/,https://pipedia.org/wiki/Castello,可入库,
30,George Boyadjiev,george-boyadjiev,乔治·博雅杰夫,保加利亚,Bulgaria,独立手工制斗师品牌,11,high,品牌库显示,,"保加利亚制斗师 George Boyadjiev 的个人品牌，常以 GB Pipes 名义出现。｜EN: Bulgarian artisan pipes by George Boyadjiev, often associated with the GB Pipes name.",George Boyadjiev 是保加利亚制斗师，公开品牌/制斗师列表中常以 GB Pipes 对应 George Boyadjiev。系统资料较少，但可以作为保加利亚独立制斗师条目保守展示。,Pipedia 品牌/制斗师索引将 GB Pipes 标注为 George Boyadjiev。由于公开履历有限，品牌库不建议虚构师承或年份，适合以“保加利亚小众手工斗”角度呈现。,保加利亚手工；GB Pipes；小众制斗师；资料有限,GB Pipes；Handmade,关注东欧小众手工斗的玩家,https://pipedia.org/wiki/Pipe_Brands_/_Makers,https://pipedia.org/wiki/Category:Pipe_makers_by_nationality,可入库,有制斗师索引依据，但资料有限，内容保守。
31,Suhr Pipes,suhr-pipes,苏尔,丹麦,Denmark,历史/工坊品牌,11,high,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,疑似丹麦历史/店铺品牌项，但公开资料不足且易与同名吉他品牌混淆；仅展示名称。
32,Søren Refbjerg,soren-refbjerg,索伦·雷夫比耶,丹麦,Denmark,历史工坊/制斗师品牌,10,high,品牌库显示,,"丹麦制斗师 Søren Refbjerg Rasmussen 的工坊品牌，曾在 1970 年代雇用多名工匠。｜EN: Danish pipes by Søren Refbjerg Rasmussen, whose workshop employed several craftsmen in the 1970s.",Søren Refbjerg Rasmussen 是丹麦制斗师，Pipedia 资料显示其于 1969 年创办公司，并在 1970 年代平均雇用 8–12 名工匠。其作品属于丹麦手工/工坊传统的一部分。,Refbjerg 与 Søborg 等丹麦老品牌/工坊线存在关联。公开资料显示，部分 Søborg 烟斗至少出自其 Søborg 工作室，不一定都由本人亲手完成。,丹麦工坊；1970年代；手工传统；Søborg 关联,Refbjerg；Søborg,喜欢丹麦老工坊和二手斗的用户,https://pipedia.org/wiki/Refbjerg,https://pipedia.org/wiki/Soborg,可入库,已找到 Pipedia 条目，可入库。
33,Tom Eltang,tom-eltang,汤姆·艾尔唐,丹麦,Denmark,独立手工制斗师,10,high,品牌库显示,,"丹麦当代名家，以精准线条、克制审美和工程细节著称。｜EN: Renowned Danish artisan known for clean lines, precision and engineering detail.",Tom Eltang 是丹麦当代重要独立制斗师，作品以干净线条、精准比例和优秀工程细节见长。除高阶手工斗外，他也发展了 Basic、Sara Eltang 等更易入门的产品线。,Tom Eltang 16 岁起跟随 Anne Julie 学习，后曾在 Pipe-Dan、Stanwell 等体系工作，1980 年起在哥本哈根以个人名义制斗。其风格代表了现代丹麦手工斗的成熟审美。,丹麦名家；线条克制；工程精准；现代审美；收藏向,Basic；Snail,进阶玩家、丹麦手工斗收藏者、重视细节的用户,https://www.eltang.com/about-eltang,https://pipedia.org/wiki/Eltang,可入库,
34,Unbranded,unbranded,,待定,TBD,非品牌项,9,medium,仅展示品牌名,,,,,,,,,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
35,Henri Pipes,henri-pipes,亨利,丹麦,Denmark,待核验品牌,8,medium,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,未查到足够可靠的公开品牌资料；品牌库可仅展示名称，不展开简介、背景或代表系列。
36,Poul Winsløw,poul-winslow,保罗·温斯洛,丹麦,Denmark,独立手工制斗师,7,medium,品牌库显示,,"丹麦自由式手工斗名家，常见金属、角材和色彩装饰。｜EN: Danish artisan freehands with vivid accents, metalwork and organic shapes.",Poul Winsløw 是丹麦知名手工制斗师，早年师从 Preben Holm 体系，作品常带有自由式轮廓、丰富装饰材料和强烈视觉风格。相比极简丹麦线条，他的作品更外放、更具装饰性。,Poul Winsløw 出生于 1951 年，年轻时进入 Preben Holm 工作室学习制斗。长期个人创作使其形成鲜明辨识度，市场上常按等级和饰面区分。,丹麦自由式；装饰材料；色彩强；手工斗；视觉外放,Crown；Handmade grades,喜欢自由式造型、装饰感和丹麦手工斗的玩家,https://pipedia.org/wiki/Winslow,https://www.haddockspipeshop.com/en/smoking-pipes/poul-winslow-pipes/,可入库,
37,Sara Eltang Pipes,sara-eltang-pipes,萨拉·艾尔唐,丹麦,Denmark,工坊品牌/品牌线,7,medium,品牌库显示,,"Tom Eltang 体系下的丹麦工坊线，以合理价格提供经典、优雅的日用烟斗。｜EN: A Danish workshop line from Tom Eltang’s setup, offering elegant classic shapes at accessible prices.",Sara Eltang Pipes 是 Tom Eltang 设计并建立的小型工坊线，名字来自他和 Pia Eltang 的小女儿 Sara。该系列强调在合理价格下提供结构扎实、造型优雅的经典烟斗。,Pipedia 资料提到，Tom Eltang 利用 Karl Erik 留下的设备建立小型生产体系，Kurt Hansen 等人参与制作，成品由 Tom 检查和手工修整。,Eltang 体系；经典斗型；价格友好；小型工坊,Sara Pipes；Smooth / Sandblast,想体验 Eltang 体系但预算有限的用户,https://pipedia.org/wiki/Sara_Pipes,https://pipedia.org/wiki/Eltang,可入库,建议作为 Tom Eltang 相关品牌线入库，而非独立高端手工制斗师。
38,TDPS,tdps,TDPS,丹麦,Denmark,店铺/自有商品牌,7,medium,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/d/The-Danish-Pipe-Shop-Cap-i174.html,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
39,Anne Julie,anne-julie,安妮·朱莉,丹麦,Denmark,独立手工制斗师,6,medium,品牌库显示,,"丹麦重要女性制斗师，作品兼具艺术气质、自由式线条和收藏价值。｜EN: A notable Danish female pipe maker known for artistic expression, freehand forms and collectability.",Anne Julie 是丹麦烟斗史中极具辨识度的女性制斗师，同时也是画家。她的作品以艺术化表达、自由式线条和强烈个人风格见长，在丹麦、日本、德国和美国等市场都有收藏者关注。,Anne Julie 与丹麦黄金时代制斗圈关系深厚。Pipedia 和 Danish Pipe Shop 均将她视为丹麦烟斗史上重要人物之一，作品常被视作艺术性强的高端手工斗。,丹麦名家；女性制斗师；艺术化；高收藏性,Unica；Freehand,高端手工斗收藏者、丹麦名家爱好者,https://pipedia.org/wiki/Anne_Julie,https://www.danishpipeshop.com/l/pipes/Anne-Julie-,可入库,可入库，适合重点品牌/制斗师页。
40,Bentley by Former,bentley-by-former,宾利 by Former,丹麦/德国,Denmark / Germany,设计师品牌线,6,medium,品牌库显示,,"Former 设计参与的烟斗品牌线，强调丹麦设计与德国工艺结合。｜EN: A pipe line associated with Former’s design, blending Danish design and German precision.",Bentley by Former 是与丹麦制斗师 Former（Hans Jonny Nielsen）设计相关的品牌线。Danish Pipe Shop 将其描述为“丹麦设计与德国精密”的结合，适合按设计师品牌线展示，而非普通汽车品牌 Bentley。,公开资料主要来自零售商页面和二手市场记录，系统品牌史不多。展示时建议突出 Former 设计关联与现代工艺，不虚构创立年份。,Former 设计；丹麦设计；德国工艺；现代品牌线,Bentley by Former；Former’s Design,喜欢 Former 风格但预算更友好的用户,https://www.danishpipeshop.com/l/pipes/Bentley-by-Former-/-f%2CPipe-Set%2C%2CPorcelain,https://www.mbsdpipes.com/product-category/pipe-brand/bentley-formers-design/,可入库,不是汽车品牌 Bentley；建议作为 Former 相关设计品牌线展示。
41,Karl Erik,karl-erik,卡尔·埃里克,丹麦,Denmark,历史工坊品牌,6,medium,品牌库显示,,"丹麦自由式烟斗代表名号之一，由 Karl Erik Ottendahl 打造，曾大量进入国际市场。｜EN: A Danish freehand pipe name by Karl Erik Ottendahl, widely seen in international estate markets.",Karl Erik 是丹麦制斗师 Karl Erik Ottendahl 的品牌名号，是丹麦自由式烟斗在国际市场中的常见代表。其作品多见自然木纹、Plateau 边缘和自由式大斗型。,Karl Erik 在丹麦手工斗黄金时期具有较高辨识度。公开资料显示，其品牌也与后来的 Sara Eltang 生产体系存在设备传承上的关联。,丹麦自由式；Plateau；自然纹理；二手市场常见,Handmade；Freehand,喜欢丹麦自由式和老斗的玩家,https://pipedia.org/wiki/Karl_Erik,https://pipedia.org/wiki/Sara_Pipes,可入库,可入库；不宜与单一系列混淆。
42,Ken Dederichs,ken-dederichs,,丹麦,Denmark,独立手工制斗师,6,medium,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,未查到足够可靠的公开品牌资料；品牌库可仅展示名称，不展开简介、背景或代表系列。
43,Flávia Rodrigues,flavia-rodrigues,弗拉维娅·罗德里格斯,巴西,Brazil,独立手工制斗师,5,medium,品牌库显示,,"巴西女性制斗师，作品融合丹麦比例、传统斗型和本土装饰材料。｜EN: Brazilian artisan pipes blending Danish cues, classic shapes and native accent materials.",Flávia Rodrigues 是巴西制斗师，最初在伴侣 Gustavo Cunha 的支持和指导下接触制斗。她的作品常以传统斗型为基础，融入丹麦制斗比例，并使用巴西本土材质作装饰。,Pipedia 资料提到，Flávia Rodrigues 受到 Tom Eltang、Former、Becker 和 Chris Asteriou 等制斗师影响，同时也在探索更自由的巴西表达。,巴西手工；丹麦影响；本土装饰；女性制斗师,Handmade；Freehand,关注新兴独立制斗师和南美手工斗的玩家,https://pipedia.org/wiki/Fl%C3%A1via_Rodrigues,https://pipedia.org/wiki/Category:Brazil,可入库,已补充 Pipedia 来源，可入库。
44,Ib Loran,ib-loran,伊布·洛兰,丹麦,Denmark,历史制斗师,5,medium,品牌库显示,,"丹麦 Pipe-Dan 体系中的制斗师，作品属于老派丹麦手工斗传统。｜EN: A Danish pipe maker associated with Pipe-Dan, rooted in classic Danish handmade tradition.",Ib Loran 是丹麦制斗师，Pipedia 资料称其为 1960–1970 年代众多优秀丹麦制斗师之一，长期在 Pipe-Dan 工作室体系中制作烟斗。其作品适合按丹麦老派手工斗展示。,Ib Loran 并非大众知名大厂品牌，但在丹麦手工斗脉络中有清晰位置。其女儿 Tine Loran 后来也制作烟斗，作品风格与父亲有相似之处。,丹麦老派；Pipe-Dan；手工斗；二手市场,Pipe-Dan；Hand Cut Denmark,喜欢丹麦老斗和 Pipe-Dan 系统的玩家,https://pipedia.org/wiki/Ib_Loran,https://pipedia.org/wiki/Tine_Loran,可入库,已找到 Pipedia 资料，可入库。
45,Luiz Lavos,luiz-lavos,,巴西,Brazil,独立手工制斗师,5,medium,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,未查到足够可靠的公开品牌资料；品牌库可仅展示名称，不展开简介、背景或代表系列。
46,Molina,molina,莫利纳,意大利,Italy,量产品牌/工厂品牌,5,medium,品牌库显示,,"意大利 Barasso 地区烟斗品牌，承接 Rossi 工厂传统，定位亲民实用。｜EN: An Italian pipe brand from Barasso, continuing the Rossi factory legacy with practical, accessible pipes.",Molina Pipe 起源于意大利伦巴第 Barasso，与老 Rossi 烟斗工厂遗产有关。品牌定位偏亲民实用，适合喜欢意大利斗型但预算不想过高的用户。,Pipedia 资料显示，Molina 源自老 Rossi 工厂留下的体系，而 Rossi 早在 20 世纪初即已开始烟斗生产。Molina 因此更适合以“意大利实用量产品牌”角度展示。,意大利制造；亲民实用；Rossi 传统；量产稳定,Barasso；Classic,新手、日用烟斗用户、意大利斗型爱好者,https://pipedia.org/wiki/Molina_Pipe,https://pipedia.org/wiki/Rossi,可入库,已查到 Pipedia 条目，可入库。
47,Eltang Basic Pipe,eltang-basic-pipe,,丹麦,Denmark,系列/单品,4,medium,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/l/pipes/Eltang-Basic-Pipes-,https://www.eltang.com/,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
48,Eriksen Keystone filter pipe,eriksen-keystone-filter-pipe,,丹麦,Denmark,系列/单品,4,medium,仅展示品牌名,,,,,,,,https://www.nordingpipes.com/pipes,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
49,Nanna Ivarsson,nanna-ivarsson,南娜·伊瓦松,丹麦,Denmark,独立手工制斗师,4,medium,品牌库显示,,"丹麦 Ivarsson 家族制斗师，承袭 Sixten 与 Lars 的设计传统，作品稀少且具收藏性。｜EN: A Danish Ivarsson-family artisan, carrying the Sixten and Lars design lineage with rare collectible work.",Nanna Ivarsson 是丹麦 Ivarsson 家族制斗师，Sixten Ivarsson 的孙女、Lars Ivarsson 的女儿。公开资料显示她很早接触制斗，并被视作家族传统的重要延续者。,Ivarsson 家族在丹麦现代烟斗设计史中地位极高。Nanna 的作品数量相对有限，市场上更多以高端手工斗和收藏属性出现。,Ivarsson 家族；丹麦高端；设计感强；稀少收藏,Handmade；Ivarsson Lineage,高端丹麦手工斗收藏者,https://pipedia.org/wiki/Ivarsson%2C_Nanna,https://pipedia.org/wiki/Ivarsson%2C_Lars,可入库,可入库，适合高端制斗师条目。
50,Tao,tao,陶,丹麦,Denmark,独立手工制斗师,4,medium,品牌库显示,,"丹麦制斗师 Jens Tao Nielsen 的名号，与 Svendborg Piber 及丹麦自由式传统关系密切。｜EN: Danish pipes by Jens Tao Nielsen, closely tied to Svendborg Piber and Danish freehand tradition.",Tao 指丹麦制斗师 Jens Tao Nielsen。公开资料显示他与 Poul Ilsted Bech 共同创办 Svendborg Piber，后来离开并开设自己的工作室。其作品属于丹麦自由式传统的重要一支。,Jens Tao Nielsen 早年曾远航，后进入制斗领域。他与 Svendborg Piber 的关系，使 Tao 在丹麦手工斗史中具有明确位置。,丹麦自由式；Svendborg 关联；手工名家；老派传统,Tao；Svendborg Piber,丹麦名家收藏者、自由式爱好者,https://pipedia.org/wiki/Jens_Tao_Nielsen,https://pipedia.org/wiki/Svendborg_Piber,可入库,Tao 应写作 Jens Tao Nielsen 的制斗名号。
51,Herriot Pipes,herriot-pipes,,丹麦,Denmark,待核验品牌,3,medium,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/,https://pipedia.org/wiki/Main_Page,仅展示品牌名,未查到足够可靠的公开品牌资料；品牌库可仅展示名称，不展开简介、背景或代表系列。
52,Manduela,manduela,曼杜埃拉,丹麦,Denmark,独立手工制斗师,3,medium,品牌库显示,,"丹麦女性制斗师 Manduela Riger-Kusk，以小型烟斗和鲜明个人风格著称。｜EN: Danish artisan Manduela Riger-Kusk, noted for distinctive small pipes and personal style.",Manduela 是丹麦制斗师 Manduela Riger-Kusk 的名号。Pipedia 资料称她以制作非常有辨识度的小型烟斗而知名，同时也是丹麦电视舞台设计师。,Manduela 是丹麦制斗师圈中少见的女性制斗师之一，作品数量不大，但个性突出。部分后辈制斗师也曾受到她的指导或影响。,丹麦手工；小型烟斗；女性制斗师；设计师背景,Small Pipes；Handmade,喜欢小型手工斗和丹麦小众名家的玩家,https://pipedia.org/wiki/Manduela,https://pipedia.org/wiki/Vagn_Nielsen,可入库,已找到 Pipedia 条目，可入库。
53,Poul Olsen,poul-olsen,波尔·奥尔森,丹麦,Denmark,烟具店品牌/委托制作,3,medium,品牌库显示,,丹麦哥本哈根烟具店品牌，烟斗多与 Poul Winsløw 制作体系相关。｜EN: Danish tobacconist brand with pipes associated with Poul Winsløw production.,Poul Olsen 是丹麦哥本哈根烟具店与品牌名，公开资料显示其烟斗由 Poul Winsløw 制作，常见一至四星等分级。它更接近店铺品牌/委托制作体系，适合放在丹麦历史烟斗与老斗脉络中理解。,Pipedia 将 Poul Olsen 描述为丹麦烟具商与品牌，并说明其烟斗由 Poul Winsløw 制作。由于市场上也会出现 Paul Olsen 拼写，表格中统一采用 Poul Olsen。,丹麦店铺品牌；Poul Winsløw相关；老斗市场；星级分级,1–4 Star graded pipes,丹麦老斗玩家、关注 Winsløw 体系的收藏者,https://pipedia.org/wiki/Olsen%2C_Poul,https://pipesmagazine.com/blog/industry-spotlight/the-danish-pipe-shop-in-copenhagen-denmark/,可入库,统一采用 Poul Olsen；第91行 Paul Olsen 作为拼写/变体归并。
54,Royal Copenhagen,royal-copenhagen,皇家哥本哈根,丹麦,Denmark,瓷器品牌/烟斗产品线,3,medium,品牌库显示,,"丹麦皇家瓷器品牌曾推出瓷质烟斗，属于特殊材质收藏向品类。｜EN: Royal Copenhagen’s porcelain pipe line, a distinctive collectible category from Denmark.",Royal Copenhagen 是丹麦皇家瓷器品牌，其烟斗并非传统石楠品牌。Pipedia 资料显示，工厂在 1970 年推出一组瓷质烟斗，包含 billiard、zulu、bent billiard 和 Golf Ball 等经典形制。,Royal Copenhagen 烟斗更适合作为特殊材质/收藏分类展示。早期产品曾因烟嘴连接问题收到反馈，约 1972 年改用反向榫结构后得到改善。,丹麦瓷器；特殊材质；收藏向；1970年代,Porcelain Pipes；Golf Ball,特殊材质收藏者、丹麦老物件爱好者,https://pipedia.org/wiki/Royal_Copenhagen,https://pipedia.org/wiki/Danish_Pipe_Brands_%26_Makers_R_-_T,可入库,不是传统石楠烟斗品牌；适合作为特殊材质品牌/产品线入库。
55,Tine Balleby,tine-balleby,蒂娜·巴勒比,丹麦,Denmark,独立手工制斗师,3,medium,品牌库显示,,"丹麦女性制斗师，Balleby 系统下的高端手工烟斗，强调严选石楠与细致完成度。｜EN: Danish artisan pipes from the Balleby line, known for selected briar and refined finishing.",Tine Balleby 是丹麦制斗师。Balleby Pipes 资料强调严选科西嘉石楠、长时间陈化和精细做工。其作品适合归入丹麦高端独立手工斗体系。,Balleby Pipes 的公开资料强调材料和工艺标准：精选 plateau 石楠、重视纹理和完成度。品牌库中可突出其高端手工属性。,丹麦高端；严选石楠；精细完成；女性制斗师,Balleby Pipes；Handmade,高端手工斗用户、丹麦工艺爱好者,https://pipedia.org/wiki/Tine_Balleby,https://pipedia.org/wiki/Balleby_Pipes,可入库,已找到 Pipedia 条目，可入库。
56,Winsløw Crown 200,winslow-crown-200,,丹麦,Denmark,系列/单品,3,medium,仅展示品牌名,,,,,,,,,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
57,B. Madsen,b-madsen,布莱恩·马德森,丹麦,Denmark,独立手工制斗师,2,low,品牌库显示,,"丹麦独立制斗师 Brian G. Madsen，作品融合丹麦传统与现代线条。｜EN: Danish artisan Brian G. Madsen, blending classic Danish and modern design.",B. Madsen 通常指丹麦制斗师 Brian G. Madsen。公开资料显示，他出生于 1990 年，2014 年开始制斗，作品受传统丹麦风格与现代美式线条影响。市场上多见小批量手工斗，定位更偏独立制斗师作品。,Bisgaard 资料称 Brian G. Madsen 来自丹麦 Vejle，早年对木工感兴趣，接触烟斗后开始自学制斗，并曾向 Erik Nielsen 学习。,丹麦手工；现代线条；小批量；自学制斗；艺术感,Elephant’s Foot；Dublin,喜欢年轻丹麦独立制斗师、小批量手工斗和现代线条的玩家,https://www.bisgaard-piber.dk/smoking-pipes/brian-g-madsen.html,https://www.bisgaard-pipes.com/smoking-pipes/brian-g-madsen.html,可入库,修正上一版误套 Poul Winsløw 文案的问题。
58,Barling,barling,,英国,United Kingdom,历史品牌,2,low,品牌库显示,,"英国老牌烟斗名号，早期 Barling 被许多收藏者视为经典英斗代表。｜EN: Historic English pipes prized by vintage collectors, especially earlier periods.",Barling 是英国历史烟斗品牌之一，早期作品在老斗收藏圈评价较高。品牌经历多个时期和所有权变化，现代复兴产品与 vintage Barling 需要分开理解。,Barling 早期与海泡石斗装配和英国烟斗制造有关，后来成为英国石楠根烟斗重要名号。收藏市场通常特别关注 1960 年代以前的时期与戳记信息。,英国老牌；老斗收藏；经典斗型；戳记研究；时期差异,Ye Olde Wood；Fossil,英国老斗收藏者、重视历史脉络的玩家,https://pipedia.org/wiki/Barling,https://www.kopp-pipes.com/en/barling/,可入库,
59,Bjarne,bjarne,,丹麦,Denmark,工坊品牌,2,low,品牌库显示,,"Bjarne Nielsen 创立的丹麦品牌，市场上多见自由式和实用手工斗。｜EN: Danish brand founded by Bjarne Nielsen, known for accessible Danish-style pipes.",Bjarne 是由 Bjarne Nielsen 推动的丹麦烟斗品牌，曾通过雇用制斗师和国际销售形成较大影响。其产品常带有丹麦自由式元素，相比顶级名家更偏实用和可入手。,Bjarne Nielsen 早年自制烟斗，后来凭借商务背景把丹麦风格烟斗推向海外市场。1990 年代品牌在多个国家销售，形成较高市场能见度。,丹麦风格；自由式；价格相对友好；工坊体系；二手常见,Bjarne Handmade；Viking,想用较低预算体验丹麦风格的玩家,https://pipedia.org/wiki/Bjarne,https://rebornpipes.com/tag/bjarne-nielsen-handmade-pipes/,可入库,
60,Charatan's,charatan-s,,英国,United Kingdom,历史品牌,2,low,品牌库显示,,英国历史手工斗名号，早期 Charatan 老斗在收藏市场认可度高。｜EN: Historic English pipe name with strong vintage collector interest.,Charatan 是英国烟斗史中重要的历史品牌，尤其早期手工石楠斗在收藏市场常被关注。它与伦敦传统制斗、自由手工成形和英国老斗分级体系有关，不同时期品质差异较大。,品牌由 Charatan 家族在伦敦发展起来，资料常强调其从粗胚到成品的手工制斗传统。后来经历所有权变化，购买老斗时需结合戳记、年代和产地判断。,英国老牌；手工传统；戳记复杂；收藏向；年代差异大,Supreme；Selected,英国老斗收藏者、愿意研究年代戳记的进阶玩家,https://pipedia.org/wiki/Charatan,https://www.charatanlondon.com/,可入库,
61,Comoy's,comoy-s,,法国/英国,France / United Kingdom,历史品牌,2,low,品牌库显示,,源自法国圣克洛德、发展于伦敦的经典英法烟斗名号。｜EN: Historic Franco-British pipe name rooted in Saint-Claude and London.,Comoy’s 是连接法国圣克洛德与英国伦敦制斗史的重要品牌。其历史涉及 Comoy 家族在法国制斗传统中的起源，以及 Henri Comoy 到伦敦发展英式石楠根烟斗生产。,资料通常将 Comoy 家族制斗传统追溯到法国 Saint-Claude。1879 年 Henri Comoy 前往伦敦设厂，使 Comoy’s 成为英国石楠根烟斗发展中的重要名字。,英法渊源；经典英式；老斗收藏；戳记复杂；历史品牌,Blue Riband；Tradition,英国/法国老斗收藏者、关注戳记年代的玩家,https://pipedia.org/wiki/Comoy%27s,https://www.glpease.com/Pipes/Comoy.html,可入库,
62,Dollar Kapten Pipe,dollar-kapten-pipe,,待定,TBD,系列/单品,2,low,仅展示品牌名,,,,,,,,https://www.danishpipeshop.com/l/Pipes/Dollar-Pipes-/-f%2C%2C%2C%2CNo-Filter%2CPacifier-stem,,仅展示品牌名,非独立品牌或重复/系列/单品项；品牌库可仅展示名称，详情内容不展开，并在商品库归并到母品牌。
